"intercept","area","sd_height","buff5"
1,10.2124367404271,34.209,15.4310885812769
1,12.5309458921241,51.9316,15.3637109482969
1,11.5220720709429,42.9139,15.277656780493
1,12.4942605978781,25.4499,15.1643268067198
1,12.5491172684116,29.3428,15.4310225855535
1,12.1803623261644,31.1823,15.3467629038369
1,13.2469754215901,39.6777,14.8222012524148
1,11.8456517083974,23.2617,13.9246788149649
1,10.964278182318,41.1177,15.6120041369239
1,11.1623871815832,25.1043,15.6057089760524
1,10.8256180592842,53.3782,15.3257339184432
1,10.5429383723402,57.7785,15.5677912274042
1,10.3742115141552,30.8338,15.6453670322991
1,10.5371727564738,22.1911,15.2288725140479
1,11.6701217849805,36.229,15.2204262116242
1,11.9808244121757,45.9236,16.0371809965831
1,11.6075665036768,55.4609,15.2230413219543
1,11.6403595831891,44.456,14.8297871595171
1,13.2389773397385,27.6515,13.6601646641533
1,10.6840827991398,33.1427,14.3139838042717
1,11.2660147013382,11.3256,15.1341230628411
1,11.3898078489455,31.2442,14.2200459006412
1,10.7297072850005,17.4336,14.6155667546361
1,9.79307411177147,39.7203,16.1389359749551
1,9.67653361403341,16.5769,15.2467613151756
1,10.2235954101056,44.7246,15.4435009047642
1,10.396759475023,27.3143,15.5645778822526
1,9.76684979672885,38.8695,15.4760985145261
1,10.3475201685183,43.0057,15.769493179619
1,9.65025599545188,24.1728,15.7433683100335
1,11.4724414151111,43.5587,15.9456626805371
1,11.2017551465141,31.1992,15.7053261304654
1,10.3348662777491,27.2349,15.0876956892315
1,12.2747065206523,52.5933,15.1207879035935
1,10.0736943110272,19.0191,15.9695278909248
1,12.4176736908849,40.6005,15.9112897848774
1,11.9311049839706,53.9493,15.1739500493248
1,12.0494400288275,44.8583,15.0903483602543
1,8.77492643740542,8.9558,15.723550898127
1,11.1867850464069,30.2553,14.4603363394673
1,10.460935241557,13.1175,15.6770738808554
1,11.2834585760546,44.5118,15.047283045373
1,10.9479211484064,52.6419,15.2283499612085
1,12.5031959249466,59.7563,15.3195328421108
1,11.9800289509881,65.0876,14.893721139924
1,12.0667541582143,50.641,15.2789090055444
1,11.4449440272046,47.8735,15.492204607969
1,10.4899319111147,45.2463,16.2579955838124
1,13.4757064506214,100.628,15.0721332111415
1,10.5688333248103,17.8437,15.0861948333611
1,10.6243093791481,36.885,15.7832578179715
1,11.5599235309572,35.0349,15.6361591877982
1,12.8004064438814,65.4398,15.5479749794338
1,11.7397639511971,44.6327,14.4117243920974
1,12.1783722136583,36.0603,16.3851543408865
1,9.4901418507079,26.7586,16.100467687366
1,10.5003753985369,26.3756,15.753312495565
1,8.89861203246442,2.9262,15.2529318746382
1,10.817410209132,66.9351,15.6206109730453
1,13.7795541971307,70.4232,15.4395174258959
1,11.4356980763228,22.8337,14.4931028866423
1,10.3495240980177,48.286,14.0216926739711
1,10.4654833380292,26.5893,14.6475671436797
1,10.8069374686858,44.8489,15.0442779209034
1,11.338500763735,31.8014,15.1796973374205
1,10.7642079421639,27.4721,12.997885732776
1,10.3061671844717,25.9955,14.1362010583755
1,10.2893684766276,20.8754,13.2420113396702
1,9.78895425749807,20.414,13.6307664692078
1,10.1228116718976,19.0713,14.9727193740393
1,10.8129886052172,32.4337,14.8701333408408
1,10.0288317411592,23.5018,14.9857148707272
1,10.8591328799471,38.9378,15.1506284599764
1,9.46447204221278,22.1404,14.7072331495011
1,8.70165269982872,16.1742,14.272321292424
1,14.3663138606204,47.6938,16.5251347197403
1,12.0478715730095,46.6154,16.162224109098
1,11.8299164985044,66.6508,15.8800789151563
1,9.38972141803624,20.9427,15.4976365063482
1,8.6351592108634,9.4714,15.4700751703651
1,9.82631050003122,15.8581,15.3083890358367
1,10.4050904718067,25.9501,15.3135506557602
1,9.30548099740698,25.3173,15.2941937905648
1,9.72501089005361,31.8921,15.3142816791059
1,9.89135411317474,30.2164,15.3192163301411
1,9.86404658416845,32.4851,14.4317750743165
1,10.0720615549235,13.785,14.0991138233807
1,9.83838506386543,41.2702,15.6802811480245
1,8.99880598392622,15.6345,15.5706966334614
1,11.1569652218577,26.4449,15.5483713941666
1,10.5788080617375,25.7312,15.0835474271412
1,11.4080262976527,35.2628,15.5093622264902
1,9.32286609749724,12.0619,15.4716925427489
1,10.5022598534871,19.0578,15.3716308125797
1,11.5917735023863,46.8011,15.471211634868
1,11.0554801445478,40.6853,15.632049302694
1,12.7673238046597,74.1188,16.0956059426915
1,8.38656540575631,7.7494,15.7172366683478
1,7.85803522470287,0.5,15.7076473473297
1,7.2331085924192,0.4865,15.7555944817688
1,12.0797621865274,76.443,15.848549850884
1,10.0010605896919,16.923,17.1241147953359
