"intercept","area","max_height","sd_height","buff5"
1,46922.91589,107,26.3295,15440829
1,20461.71917,56,14.6505,16925104
1,26371.84786,61,16.2538,19697037
1,9715.36628,73,20.2352,21346570
1,48654.59656,63,17.0044,18300610
1,86741.45697,108,25.309,19064229
1,40517.54669,107,31.2629,9797748
1,67049.51659,158,40.0547,18345488
1,8157.519424,67,16.561,11689327
1,264055.2024,103,23.8971,21764384
1,94638.36354,133,28.3566,15020257
1,14318.77197,34,9.2288,20515952
1,142084.0341,159,44.4411,15957900
1,124830.9555,119,27.236,17678224
1,55838.37097,130,38.4821,30373478
1,50575.43595,115,29.8271,30638777
1,17929.60441,56,13.6132,3281209
1,6751.290087,55,15.0023,24073071
1,14510.52728,65,17.7648,12241468
1,7583.477185,75,20.3777,11529747
1,77580.58851,55,13.3815,13694040
1,95912.06979,133,34.0536,17892625
1,10388.19898,114,31.4118,31052318
1,157492.5819,166,35.8542,12330802
1,8691.690143,87,24.3898,26332429
1,35483.9129,37,11.2873,3045764
1,34088.47201,114,26.9134,6065249
1,11708.40139,19,5.4368,1040305
1,98294.48554,111,29.9376,5680581
1,35029.64342,31,9.1681,5344307
1,15700.18521,56,17.4869,8043682
1,14424.93894,61,16.6104,23361535
1,369.1733463,7,1.0843,35256899
1,73841.63311,211,65.5374,14675408
1,11146.40915,42,12.7284,19847604
1,845.1144621,3,0.4993,23618245
1,186967.8365,118,25.6471,11732220
1,163331.4376,99,22.7331,15392648
1,24742.09128,98,26.6415,836406
1,38240.71949,108,25.4827,1048895
1,16097.35121,72,19.4721,1244811
1,158945.4966,84,22.2561,1583994
1,13505.09484,49,13.3925,239983
1,30078.23024,62,14.471,2334837
1,15542.27289,67,17.3605,16202144
1,328072.0244,211,57.8702,8657013
1,209929.4061,165,33.6229,11357640
1,46485.87528,62,13.2832,771683
1,18370.12925,81,18.8256,18995998
1,95700.42307,105,24.9287,2361405
1,30617.20058,56,17.637,16133615
1,61260.12194,60,16.4903,4106510
1,53850.86578,82,23.2177,1815636
1,101349.1078,84,19.7386,2629281
1,29933.51268,80,21.5121,5246574
1,31144.4456,53,12.9664,2965795
1,59264.78034,46,11.4121,3052365
1,66605.14546,59,17.4442,2868753
1,12627.78338,32,10.4248,842243
1,39472.02273,84,22.4963,2617611
1,71433.77138,115,30.8762,21398750
1,55234.10254,179,46.6316,1484704
1,34250.46099,105,30.1796,2695968
1,312287.5063,212,53.911,19087946
1,3779.117868,12,3.3959,18980373
1,11639.50821,40,11.7855,7547012
1,24196.09461,147,46.0901,14056505
1,27239.49471,91,21.6173,14064284
1,12044.92045,45,13.9306,14859412
1,18684.63486,54,15.2719,11232319
1,50693.32246,95,24.475,9305579
1,46301.69747,186,49.3685,2974824
1,131293.0769,205,46.4072,27699525
1,765676.9579,234,52.445,12675622
1,336477.3844,202,47.7877,34251764
1,309149.9389,207,43.8892,23364709
1,133606.9785,146,34.1679,20733730
1,168172.9569,181,43.6308,33982183
1,287266.8894,169,35.3852,30540891
1,89765.58302,87,24.0612,586207
1,68369.77181,63,16.7129,3738008
1,133782.8054,131,32.4045,21495412
1,558964.0924,183,36.7832,27633314
1,318968.2881,162,35.3883,21950207
1,151797.3513,255,55.2053,23146847
1,502887.1106,204,49.4075,24428617
1,35285.61234,61,17.0493,14682982
1,18786.01198,90,22.9069,32840742
1,43554.26507,108,26.0958,32194960
1,14264.36061,52,15.2314,822377
1,3397.993695,31,7.528,1099038
1,120991.4833,182,45.8598,12473547
1,17791.39571,62,14.2423,4974250
1,52408.63579,82,13.6374,4708405
1,62297.43597,104,29.98,3500317
1,230342.5591,76,16.0907,3706147
1,313605.2929,247,58.8608,9895269
1,55456.90322,105,22.2739,22257401
1,79881.29001,184,52.7279,24341853
1,151040.7048,177,46.0632,27617728
1,156624.7869,175,41.5432,23901015
1,119854.6268,152,35.881,26426405
1,301122.3702,110,29.8027,3888871
1,511900.7596,176,37.7852,18322212
1,303087.8751,199,48.8816,15217963
1,188174.0123,142,33.6006,18717160
1,58688.87547,138,33.8169,28223765
1,56885.05039,80,24.2546,4136188
1,47711.77423,80,17.0839,4897022
1,19440.29458,105,27.5014,7263629
1,22747.05519,57,17.1291,2079087
1,23158.9668,53,16.2453,1864659
1,36937.82283,57,15.3506,2324488
1,42002.88183,178,52.2628,33671102
1,33348.82415,57,12.6825,11348699
1,24179.1189,49,11.9497,10414157
1,115114.2929,173,37.8788,5500801
1,83484.14878,113,26.6985,5963358
1,45201.09142,84,23.4823,180312
1,104681.7454,83,19.2646,1514891
1,28443.98657,60,16.9451,3941622
1,409839.7488,107,23.5998,5052333
1,86394.5563,85,23.1928,11762433
1,14418.5675,86,26.7034,16896987
1,49603.1001,77,18.4752,18952042
1,3915.579259,30,8.5894,32737150
1,47114.87622,198,39.939,35143297
1,50781.77441,172,39.5849,1890645
1,71921.33542,179,40.3289,3118600
1,33016.67493,51,13.0251,142334
1,19350.53733,66,18.801,8847291
1,74692.16805,108,12.4071,19417009
1,94165.84191,131,29.5384,23438333
1,141909.6509,164,34.1074,36845296
1,73094.9669,84,11.0654,35742676
1,40231.86207,132,25.0523,31365526
1,20572.19409,105,24.5879,29535261
1,22890.50895,44,10.6538,742879
1,17108.74154,84,21.7122,7151270
1,18770.22956,127,34.0613,5326630
1,62367.17313,109,29.1499,6628895
1,8249.668801,39,11.5856,5840659
1,199012.263,283,65.1919,13429920
1,38493.40975,132,34.9954,11661326
1,73498.61988,136,38.876,9698477
1,60757.49333,120,33.752,14789024
1,116943.8359,163,45.4246,3788695
1,141504.0857,114,25.7709,12598908
1,35197.30021,188,54.4787,3143757
1,46005.04529,133,38.9741,1766825
1,24179.20309,151,40.2581,2933141
1,77027.02193,81,20.06,17766258
1,99804.4415,105,25.6779,19591170
1,287526.6869,184,52.6575,10420549
1,296206.3911,181,46.3036,3014151
1,79086.08039,96,23.2727,15516278
1,47315.72312,102,24.0077,17735459
1,28243.0349,79,18.8021,10273865
1,71290.66419,62,16.3457,15297706
1,14840.78321,71,17.2694,15834062
1,64838.7215,58,16.6074,7236732
1,351005.6986,153,33.7072,7917199
1,76805.92021,164,37.5872,12328294
1,84247.05233,138,35.2636,1318223
1,28328.28769,56,15.1333,4390965
1,13301.57146,163,45.2625,13615833
1,35413.83781,110,32.4353,7621280
1,37412.15844,104,28.9102,21402308
1,13298.5152,84,24.8688,20591707
1,7928.699033,58,16.9355,20303627
1,2068.654173,12,3.2639,20710674
1,36415.66884,61,14.4778,16403054
1,236949.7331,156,35.8345,1286478
1,35431.18579,77,21.6485,5142388
1,123962.8922,80,18.9091,9981338
1,29786.43525,107,22.3257,7860595
1,7051.144011,62,16.2631,12061387
1,55524.78662,133,27.6168,8479819
1,126905.7329,184,47.0432,12883622
1,72061.63155,142,29.5918,18945205
1,60629.37323,59,15.7093,1286035
1,18165.29148,64,17.0159,1206327
1,136288.5172,76,19.4574,2331828
1,70164.8483,81,20.2763,2368493
1,93338.02645,105,27.8146,2278253
1,68834.59485,117,30.7277,2231151
1,109754.4175,152,33.8334,4420382
1,129054.2491,101,20.3891,5885555
1,1841.453827,20,5.5718,42512722
